# Pathway	41_S6_L001_R1_001_Abundance
UNMAPPED	595207.4168056395
UNINTEGRATED	1571668.4743739276
UNINTEGRATED|unclassified	309219.1218931876
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	246245.9291314684
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	95026.9503040953
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	84313.4870773189
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	51909.3942146653
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	44237.5728007143
UNINTEGRATED|g__Blautia.s__Blautia_obeum	43877.4072070329
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	43024.0589495507
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	40178.6677017569
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	38580.8111703605
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	38351.8092787604
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	34925.4748979702
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	32904.0743781147
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	29406.4115349766
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	26398.9582437974
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	26325.8960688953
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	25961.2873250801
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	24617.8894451456
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	18330.2874457478
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	17920.8512843630
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	15230.6747682035
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	11822.8417945236
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_221	11617.7851293573
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	11544.6896149292
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	9561.1030390573
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	9085.4085544054
UNINTEGRATED|g__Dialister.s__Dialister_invisus	8940.9524192761
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AF36_4	6662.2022219637
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	5458.5139705566
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	5236.7483090556
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	4943.8013048121
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_spiroforme	4159.1801255150
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	3962.4329337939
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	3340.7318512225
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_citroniae	2938.6607710327
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	2373.1484071443
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_75	2249.6580834720
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	1485.8773791202
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	896.6611822766
PWY-7238: sucrose biosynthesis II	2057.3431033589
PWY-7238: sucrose biosynthesis II|unclassified	671.8281455730
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	333.7988451750
PWY-7238: sucrose biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	169.7892604644
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	123.5477778273
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	70.1946461020
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	66.9204063660
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	57.7700945564
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp_CAG_52	57.2173617630
PWY-7238: sucrose biosynthesis II|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	50.1336613512
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	47.1021371407
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans	43.1984944584
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_lactaris	33.9147563100
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	32.6753486868
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	32.0502941372
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	23.6854491411
PWY-7238: sucrose biosynthesis II|g__Escherichia.s__Escherichia_coli	19.8925752839
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_sp_AF36_4	13.9508724316
PWY-7238: sucrose biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	10.5371748582
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_gnavus	10.5172208318
PWY-7238: sucrose biosynthesis II|g__Flavonifractor.s__Flavonifractor_plautii	10.2113175436
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_sp_CAG_221	6.9399262633
PWY-7238: sucrose biosynthesis II|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	6.5925010301
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_aldenense	1.5810276680
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	1634.1825381124
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	500.1103578624
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	362.8180669600
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	114.6041837984
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	76.8440966267
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	70.8084833738
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_torques	50.1920370965
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_obeum	46.5210187007
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_wexlerae	45.9161213019
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	43.3949904977
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Dorea.s__Dorea_longicatena	42.8573458981
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_lactaris	38.6618876925
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp_CAG_52	36.8171579566
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_inulinivorans	29.9735697085
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_intestinalis	27.0279207422
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_hallii	13.1286191508
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Hungatella.s__Hungatella_hathewayi	12.6455793285
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Escherichia.s__Escherichia_coli	12.2591431170
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Flavonifractor.s__Flavonifractor_plautii	10.2715741966
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Intestinibacter.s__Intestinibacter_bartlettii	5.4768172520
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_aldenense	1.4241210503
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	1.2353304509
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_citroniae	0.6781959986
PWY-1042: glycolysis IV	1487.8166546152
PWY-1042: glycolysis IV|unclassified	336.6224010813
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	283.5378573702
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	52.0801392507
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	48.7887630858
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	45.1140120749
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	41.5901419667
PWY-1042: glycolysis IV|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	41.5299992351
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp_CAG_52	31.5493189087
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_lactaris	31.0905953060
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_inulinivorans	28.0793023796
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	23.8797128503
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_intestinalis	16.6118135210
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_hallii	15.8245190364
PWY-1042: glycolysis IV|g__Flavonifractor.s__Flavonifractor_plautii	10.3989828694
PWY-1042: glycolysis IV|g__Clostridium.s__Clostridium_sp_AF36_4	8.4427710994
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_salivarius	4.0040040040
PWY-5941: glycogen degradation II	1484.5006997476
PWY-5941: glycogen degradation II|unclassified	219.8111603798
PWY-5941: glycogen degradation II|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	168.2285309056
PWY-5941: glycogen degradation II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	84.7465470912
PWY-5941: glycogen degradation II|g__Blautia.s__Ruminococcus_torques	62.6881762443
PWY-5941: glycogen degradation II|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	59.0978026192
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_obeum	57.9412447629
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_sp_CAG_52	45.0545092473
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_wexlerae	44.9019297786
PWY-5941: glycogen degradation II|g__Dorea.s__Dorea_longicatena	39.8293878911
PWY-5941: glycogen degradation II|g__Ruminococcus.s__Ruminococcus_lactaris	37.1630703302
PWY-5941: glycogen degradation II|g__Roseburia.s__Roseburia_inulinivorans	36.8514267861
PWY-5941: glycogen degradation II|g__Anaerostipes.s__Anaerostipes_hadrus	35.4034719245
PWY-5941: glycogen degradation II|g__Roseburia.s__Roseburia_intestinalis	32.3426552297
PWY-5941: glycogen degradation II|g__Escherichia.s__Escherichia_coli	24.6358118558
PWY-5941: glycogen degradation II|g__Eubacterium.s__Eubacterium_hallii	20.5559386320
PWY-5941: glycogen degradation II|g__Flavonifractor.s__Flavonifractor_plautii	10.9923664122
PWY-5941: glycogen degradation II|g__Hungatella.s__Hungatella_hathewayi	10.5659477303
VALSYN-PWY: L-valine biosynthesis	1423.8927157545
VALSYN-PWY: L-valine biosynthesis|unclassified	380.5352814808
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	248.7243064845
VALSYN-PWY: L-valine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	119.6932403066
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	76.9517465693
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	55.7771525907
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	42.5308616608
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	37.4790735699
