# Pathway	46_S55_L001_R2_001_Abundance
UNMAPPED	789972.3989459949
UNINTEGRATED	1120756.0943428972
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	246097.4331171894
UNINTEGRATED|unclassified	177721.9250789071
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_AM42_24	56788.7454557603
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	53792.6917445049
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	46570.1431832515
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	40815.1624357172
UNINTEGRATED|g__Blautia.s__Blautia_obeum	31002.5931753765
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_520	30585.8069837949
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_885	26607.0515716164
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_5226	22098.2743617911
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	21805.4070819172
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	18000.2211766161
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_510	15054.5556893179
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	13191.3459002627
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	11959.7843389904
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_581	11945.6268937507
UNINTEGRATED|g__Holdemanella.s__Holdemanella_biformis	10377.3750092884
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	10127.4837042200
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_571	9650.9647683262
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176	9599.6140202009
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	9370.3263977376
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	8585.5664255725
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_465	8234.6053086088
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	8013.4733698807
UNINTEGRATED|g__Dialister.s__Dialister_sp_CAG_486	7779.0260348654
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_sp_CAG_318	7687.1346514895
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	6656.1187790262
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	6318.2932782135
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	6057.4632175678
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_435	5897.0187716580
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_180	5894.6051519059
UNINTEGRATED|g__Blautia.s__Blautia_sp	5887.5048047036
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	5882.8985647752
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	5706.9794197582
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1092	5677.0120834396
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	4953.9603846072
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	4923.2230542768
UNINTEGRATED|g__Sutterella.s__Sutterella_sp_CAG_397	4729.7622513510
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_254	4633.8967080076
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	4548.7443412078
