# Pathway	10_S12_L001_R2_001_Abundance
UNMAPPED	662711.4560050988
UNINTEGRATED	1386897.5128298993
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	349425.2181043126
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	137505.6936366926
UNINTEGRATED|unclassified	113794.1836168572
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_AM42_24	94218.9172480799
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	79633.7287783708
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_5226	28931.1640287589
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_732	26583.1808703228
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	24943.2965910041
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	21751.7644531645
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_386	19666.7830811192
UNINTEGRATED|g__Succinatimonas.s__Succinatimonas_sp_CAG_777	17409.0777038978
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	16794.8202470531
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	16736.5409108055
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	15883.2546592938
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	15457.0307594965
UNINTEGRATED|g__Blautia.s__Blautia_obeum	15087.0960955029
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_520	14789.7396035700
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	14516.3436895945
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	14490.0244700087
UNINTEGRATED|g__Blautia.s__Blautia_sp	14134.9296985828
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_330	13133.0865917108
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_885	12396.5407550682
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	12356.5662414162
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	12166.0454512993
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	11657.5825971463
UNINTEGRATED|g__Holdemanella.s__Holdemanella_biformis	10935.3754298159
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1092	10609.1127397586
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_217	10257.1128979939
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	9916.7463253679
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	8344.6981851440
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_44_14	6413.6818302121
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	6263.3088935843
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176	6172.3645091749
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	5748.8627712880
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	4988.6708890384
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	4897.4792276168
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	4751.8604821057
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	4486.0837974993
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	4454.4249148776
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	4369.1877216857
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	4184.5848621682
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	3838.8590811176
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	3471.4401911111
UNINTEGRATED|g__Sutterella.s__Sutterella_sp_CAG_397	3077.7110291409
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	2671.1548825990
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	2448.8616264757
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_177	2033.3163381527
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	1588.9194911197
UNINTEGRATED|g__Eggerthella.s__Eggerthella_sp_CAG_209	1250.2992136852
