# Pathway	35_S25_L001_R2_001_Abundance
UNMAPPED	1105269.3053675548
UNINTEGRATED	1140141.9765132843
UNINTEGRATED|unclassified	217743.1265465578
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	94209.7039240708
UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB	67525.1988779729
UNINTEGRATED|g__Blautia.s__Blautia_obeum	43418.8955721545
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_435	36228.2500649135
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	32813.7241633200
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	27198.8755210779
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475	26354.6757678170
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	25858.6673453808
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_452	25158.5695338523
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	24427.1663511576
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	23843.9769882152
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	22389.8268835318
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_520	19814.2336792094
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	17909.5375139009
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	16205.4156974803
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	16046.3781952800
UNINTEGRATED|g__Succinatimonas.s__Succinatimonas_sp_CAG_777	15674.3422838999
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	15653.1276412063
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	12799.3097553865
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	12187.2591843489
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_349	11979.6487122747
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	11762.9400349332
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	11135.5308913928
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	10608.3191678038
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	10348.1633686210
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_386	9738.3465374437
